ts,id,T,P
-0.745,BARO0,31.2,100069
-0.735,BARO0,31.18,100092
-0.725,BARO0,31.18,100085
-0.715,BARO0,31.2,100089
-0.705,BARO0,31.21,100091
-0.695,BARO0,31.18,100097
-0.685,BARO0,31.17,100078
-0.675,BARO0,31.19,100083
-0.665,BARO0,31.19,100092
-0.655,BARO0,31.19,100073
-0.645,BARO0,31.19,100081
-0.635,BARO0,31.19,100093
-0.625,BARO0,31.19,100078
-0.615,BARO0,31.19,100108
-0.605,BARO0,31.2,100083
-0.595,BARO0,31.18,100081
-0.585,BARO0,31.2,100094
-0.575,BARO0,31.19,100094
-0.565,BARO0,31.18,100096
-0.555,BARO0,31.19,100079
-0.545,BARO0,31.17,100083
-0.535,BARO0,31.17,100091
-0.525,BARO0,31.19,100102
-0.515,BARO0,31.19,100102
-0.505,BARO0,31.19,100088
-0.495,BARO0,31.19,100103
-0.485,BARO0,31.18,100079
-0.475,BARO0,31.19,100094
-0.465,BARO0,31.19,100074
-0.455,BARO0,31.19,100094
-0.445,BARO0,31.19,100088
-0.435,BARO0,31.18,100079
-0.425,BARO0,31.18,100066
-0.415,BARO0,31.18,100087
-0.405,BARO0,31.19,100094
-0.395,BARO0,31.18,100078
-0.385,BARO0,31.19,100084
-0.375,BARO0,31.18,100098
-0.365,BARO0,31.19,100076
-0.355,BARO0,31.19,100085
-0.345,BARO0,31.19,100070
-0.335,BARO0,31.17,100082
-0.325,BARO0,31.19,100093
-0.315,BARO0,31.2,100079
-0.305,BARO0,31.2,100082
-0.295,BARO0,31.19,100086
-0.285,BARO0,31.18,100083
-0.275,BARO0,31.19,100092
-0.265,BARO0,31.19,100079
-0.255,BARO0,31.19,100075
-0.245,BARO0,31.2,100099
-0.235,BARO0,31.19,100090
-0.225,BARO0,31.18,100083
-0.215,BARO0,31.21,100077
-0.205,BARO0,31.18,100098
-0.195,BARO0,31.18,100102
-0.185,BARO0,31.19,100084
-0.175,BARO0,31.19,100096
-0.165,BARO0,31.19,100093
-0.155,BARO0,31.2,100091
-0.145,BARO0,31.19,100089
-0.135,BARO0,31.18,100091
-0.125,BARO0,31.19,100088
-0.115,BARO0,31.17,100076
-0.105,BARO0,31.19,100224
-0.095,BARO0,31.19,100235
-0.085,BARO0,31.19,100154
-0.075,BARO0,31.19,100105
-0.065,BARO0,31.19,100088
-0.055,BARO0,31.19,100097
-0.045,BARO0,31.18,100132
-0.035,BARO0,31.17,100093
-0.025,BARO0,31.19,100107
-0.015,BARO0,31.2,100109
-0.005,BARO0,31.19,100128
0.005,BARO0,31.2,100107
0.015,BARO0,31.2,100128
0.025,BARO0,31.19,100076
0.035,BARO0,31.19,100060
0.045,BARO0,31.19,100085
0.055,BARO0,31.19,100096
0.065,BARO0,31.18,100095
0.075,BARO0,31.19,100065
0.085,BARO0,31.19,100051
0.095,BARO0,31.2,100094
0.105,BARO0,31.18,100107
0.115,BARO0,31.18,100070
0.125,BARO0,31.19,100065
0.135,BARO0,31.19,100082
0.145,BARO0,31.19,100023
0.155,BARO0,31.19,100041
0.165,BARO0,31.18,100047
0.175,BARO0,31.17,100031
0.185,BARO0,31.17,100013
0.195,BARO0,31.21,100047
0.205,BARO0,31.17,99992
0.215,BARO0,31.18,100003
0.225,BARO0,31.18,100008
0.235,BARO0,31.19,100009
0.245,BARO0,31.18,100006
0.255,BARO0,31.17,100016
0.265,BARO0,31.2,100002
0.275,BARO0,31.17,99984
0.285,BARO0,31.19,99989
0.295,BARO0,31.18,99978
0.305,BARO0,31.18,99971
0.315,BARO0,31.18,99972
0.325,BARO0,31.18,99956
0.335,BARO0,31.18,99935
0.345,BARO0,31.19,99957
0.355,BARO0,31.19,99946
0.365,BARO0,31.21,99946
0.375,BARO0,31.16,99935
0.385,BARO0,31.18,99911
0.395,BARO0,31.18,99923
0.405,BARO0,31.21,99912
0.415,BARO0,31.18,99900
0.425,BARO0,31.18,99887
0.435,BARO0,31.17,99901
0.445,BARO0,31.17,99888
0.455,BARO0,31.18,99894
0.465,BARO0,31.17,99864
0.475,BARO0,31.19,99870
0.485,BARO0,31.17,99852
0.495,BARO0,31.17,99876
0.505,BARO0,31.17,99831
