ts,id,T,P
-0.745,BARO0,15.00,100069
-0.735,BARO0,15.00,100073
-0.725,BARO0,15.00,100065
-0.715,BARO0,15.00,100078
-0.705,BARO0,15.00,100069
-0.695,BARO0,15.00,100066
-0.685,BARO0,15.00,100069
-0.675,BARO0,15.00,100061
-0.665,BARO0,15.00,100077
-0.655,BARO0,15.00,100077
-0.645,BARO0,15.00,100068
-0.635,BARO0,15.00,100083
-0.625,BARO0,15.00,100071
-0.615,BARO0,15.00,100061
-0.605,BARO0,15.00,100072
-0.595,BARO0,15.00,100072
-0.585,BARO0,15.00,100061
-0.575,BARO0,15.00,100053
-0.565,BARO0,15.00,100083
-0.555,BARO0,15.00,100081
-0.545,BARO0,15.00,100062
-0.535,BARO0,15.00,100054
-0.525,BARO0,15.00,100085
-0.515,BARO0,15.00,100066
-0.505,BARO0,15.00,100083
-0.495,BARO0,15.00,100063
-0.485,BARO0,15.00,100056
-0.475,BARO0,15.00,100078
-0.465,BARO0,15.00,100065
-0.455,BARO0,15.00,100052
-0.445,BARO0,15.00,100077
-0.435,BARO0,15.00,100083
-0.425,BARO0,15.00,100068
-0.415,BARO0,15.00,100089
-0.405,BARO0,15.00,100049
-0.395,BARO0,15.00,100063
-0.385,BARO0,15.00,100067
-0.375,BARO0,15.00,100063
-0.365,BARO0,15.00,100069
-0.355,BARO0,15.00,100065
-0.345,BARO0,15.00,100063
-0.335,BARO0,15.00,100057
-0.325,BARO0,15.00,100068
-0.315,BARO0,15.00,100070
-0.305,BARO0,15.00,100078
-0.295,BARO0,15.00,100070
-0.285,BARO0,15.00,100056
-0.275,BARO0,15.00,100071
-0.265,BARO0,15.00,100068
-0.255,BARO0,15.00,100084
-0.245,BARO0,15.00,100079
-0.235,BARO0,15.00,100061
-0.225,BARO0,15.00,100069
-0.215,BARO0,15.00,100062
-0.205,BARO0,15.00,100064
-0.195,BARO0,15.00,100052
-0.185,BARO0,15.00,100071
-0.175,BARO0,15.00,100069
-0.165,BARO0,15.00,100074
-0.155,BARO0,15.00,100065
-0.145,BARO0,15.00,100074
-0.135,BARO0,15.00,100068
-0.125,BARO0,15.00,100081
-0.115,BARO0,15.00,100076
-0.105,BARO0,15.00,100064
-0.095,BARO0,15.00,100062
-0.085,BARO0,15.00,100078
-0.075,BARO0,15.00,100069
-0.065,BARO0,15.00,100061
-0.055,BARO0,15.00,100069
-0.045,BARO0,15.00,100058
-0.035,BARO0,15.00,100087
-0.025,BARO0,15.00,100082
-0.015,BARO0,15.00,100073
-0.005,BARO0,15.00,100072
0.005,BARO0,15.00,100069
0.015,BARO0,15.00,100069
0.025,BARO0,15.00,100072
0.035,BARO0,15.00,100073
0.045,BARO0,15.00,100051
0.055,BARO0,15.00,100080
0.065,BARO0,15.00,100073
0.075,BARO0,15.00,100080
0.085,BARO0,15.00,100066
0.095,BARO0,15.00,100072
0.105,BARO0,15.00,100076
0.115,BARO0,15.00,100064
0.125,BARO0,15.00,100074
0.135,BARO0,15.00,100045
0.145,BARO0,15.00,100071
0.155,BARO0,15.00,100073
0.165,BARO0,15.00,100064
0.175,BARO0,15.00,100058
0.185,BARO0,15.00,100051
0.195,BARO0,15.00,100064
0.205,BARO0,15.00,100069
0.215,BARO0,15.00,100058
0.225,BARO0,15.00,100066
0.235,BARO0,15.00,100067
0.245,BARO0,15.00,100072
0.255,BARO0,15.00,100064
0.265,BARO0,15.00,100074
0.275,BARO0,15.00,100067
0.285,BARO0,15.00,100081
0.295,BARO0,15.00,100066
0.305,BARO0,15.00,100087
0.315,BARO0,15.00,100074
0.325,BARO0,15.00,100078
0.335,BARO0,15.00,100079
0.345,BARO0,15.00,100063
0.355,BARO0,15.00,100064
0.365,BARO0,15.00,100044
0.375,BARO0,15.00,100092
0.385,BARO0,15.00,100071
0.395,BARO0,15.00,100067
0.405,BARO0,15.00,100058
0.415,BARO0,15.00,100071
0.425,BARO0,15.00,100057
0.435,BARO0,15.00,100067
0.445,BARO0,15.00,100073
0.455,BARO0,15.00,100059
0.465,BARO0,15.00,100072
0.475,BARO0,15.00,100054
0.485,BARO0,15.00,100066
0.495,BARO0,15.00,100051
0.505,BARO0,15.00,100070
0.515,BARO0,15.00,100072
0.525,BARO0,15.00,100071
0.535,BARO0,15.00,100069
0.545,BARO0,15.00,100087
0.555,BARO0,15.00,100077
0.565,BARO0,15.00,100085
