ts,id,T,P
-0.745,BARO0,31.20,100076
-0.735,BARO0,31.18,100073
-0.725,BARO0,31.18,100076
-0.715,BARO0,31.20,100079
-0.705,BARO0,31.21,100062
-0.695,BARO0,31.18,100070
-0.685,BARO0,31.17,100069
-0.675,BARO0,31.19,100069
-0.665,BARO0,31.19,100063
-0.655,BARO0,31.19,100086
-0.645,BARO0,31.19,100064
-0.635,BARO0,31.19,100073
-0.625,BARO0,31.19,100076
-0.615,BARO0,31.19,100077
-0.605,BARO0,31.20,100071
-0.595,BARO0,31.18,100062
-0.585,BARO0,31.20,100068
-0.575,BARO0,31.19,100074
-0.565,BARO0,31.18,100064
-0.555,BARO0,31.19,100075
-0.545,BARO0,31.17,100064
-0.535,BARO0,31.17,100073
-0.525,BARO0,31.19,100064
-0.515,BARO0,31.19,100074
-0.505,BARO0,31.19,100067
-0.495,BARO0,31.19,100064
-0.485,BARO0,31.18,100078
-0.475,BARO0,31.19,100090
-0.465,BARO0,31.19,100057
-0.455,BARO0,31.19,100076
-0.445,BARO0,31.19,100070
-0.435,BARO0,31.18,100069
-0.425,BARO0,31.18,100075
-0.415,BARO0,31.18,100054
-0.405,BARO0,31.19,100072
-0.395,BARO0,31.18,100068
-0.385,BARO0,31.19,100063
-0.375,BARO0,31.18,100074
-0.365,BARO0,31.19,100093
-0.355,BARO0,31.19,100073
-0.345,BARO0,31.19,100061
-0.335,BARO0,31.17,100072
-0.325,BARO0,31.19,100064
-0.315,BARO0,31.20,100064
-0.305,BARO0,31.20,100068
-0.295,BARO0,31.19,100064
-0.285,BARO0,31.18,100077
-0.275,BARO0,31.19,100053
-0.265,BARO0,31.19,100064
-0.255,BARO0,31.19,100070
-0.245,BARO0,31.20,100062
-0.235,BARO0,31.19,100077
-0.225,BARO0,31.18,100067
-0.215,BARO0,31.21,100056
-0.205,BARO0,31.18,100075
-0.195,BARO0,31.18,100072
-0.185,BARO0,31.19,100065
-0.175,BARO0,31.19,100079
-0.165,BARO0,31.19,100061
-0.155,BARO0,31.20,100069
-0.145,BARO0,31.19,100068
-0.135,BARO0,31.18,100060
-0.125,BARO0,31.19,100068
-0.115,BARO0,31.17,100060
-0.105,BARO0,31.19,100069
-0.095,BARO0,31.19,100065
-0.085,BARO0,31.19,100081
-0.075,BARO0,31.19,100059
-0.065,BARO0,31.19,100077
-0.055,BARO0,31.19,100074
-0.045,BARO0,31.18,100066
-0.035,BARO0,31.17,100051
-0.025,BARO0,31.19,100072
-0.015,BARO0,31.20,100070
-0.005,BARO0,31.19,100063
0.005,BARO0,31.20,100071
0.015,BARO0,31.20,100070
0.025,BARO0,31.19,100053
0.035,BARO0,31.19,100090
0.045,BARO0,31.19,100063
0.055,BARO0,31.19,100079
0.065,BARO0,31.18,100070
0.075,BARO0,31.19,100066
0.085,BARO0,31.19,100064
0.095,BARO0,31.20,100085
0.105,BARO0,31.18,100070
0.115,BARO0,31.18,100056
