ts,id,T,P
-0.755,BARO0,35.26,100129
-0.745,BARO0,35.26,100137
-0.735,BARO0,35.26,100104
-0.725,BARO0,35.27,100111
-0.715,BARO0,35.27,100113
-0.705,BARO0,35.27,100111
-0.695,BARO0,35.26,100110
-0.685,BARO0,35.27,100110
-0.675,BARO0,35.28,100133
-0.665,BARO0,35.27,100122
-0.655,BARO0,35.24,100112
-0.645,BARO0,35.27,100124
-0.635,BARO0,35.25,100139
-0.625,BARO0,35.27,100122
-0.615,BARO0,35.26,100116
-0.605,BARO0,35.26,100116
-0.595,BARO0,35.27,100127
-0.585,BARO0,35.27,100110
-0.575,BARO0,35.28,100115
-0.565,BARO0,35.27,100111
-0.555,BARO0,35.27,100140
-0.545,BARO0,35.28,100123
-0.535,BARO0,35.28,100122
-0.525,BARO0,35.27,100114
-0.515,BARO0,35.28,100119
-0.505,BARO0,35.26,100118
-0.495,BARO0,35.26,100124
-0.485,BARO0,35.26,100094
-0.475,BARO0,35.26,100131
-0.465,BARO0,35.27,100081
-0.455,BARO0,35.27,100130
-0.445,BARO0,35.26,100110
-0.435,BARO0,35.25,100136
-0.425,BARO0,35.27,100124
-0.415,BARO0,35.27,100123
-0.405,BARO0,35.27,100120
-0.395,BARO0,35.26,100119
-0.385,BARO0,35.26,100139
-0.375,BARO0,35.26,100139
-0.365,BARO0,35.26,100131
-0.355,BARO0,35.29,100130
-0.345,BARO0,35.27,100128
-0.335,BARO0,35.26,100119
-0.325,BARO0,35.26,100114
-0.315,BARO0,35.27,100116
-0.305,BARO0,35.27,100105
-0.295,BARO0,35.26,100113
-0.285,BARO0,35.26,100106
-0.275,BARO0,35.24,100126
-0.265,BARO0,35.26,100101
-0.255,BARO0,35.28,100151
-0.245,BARO0,35.25,100126
-0.235,BARO0,35.27,100127
-0.225,BARO0,35.29,100150
-0.215,BARO0,35.28,100113
-0.205,BARO0,35.27,100129
-0.195,BARO0,35.27,100119
-0.185,BARO0,35.26,100131
-0.175,BARO0,35.29,100097
-0.165,BARO0,35.27,100143
-0.155,BARO0,35.28,100102
-0.145,BARO0,35.27,100128
-0.135,BARO0,35.27,100168
-0.125,BARO0,35.25,100112
-0.115,BARO0,35.27,100100
-0.105,BARO0,35.27,100150
-0.095,BARO0,35.27,100111
-0.085,BARO0,35.26,100135
-0.075,BARO0,35.28,100188
-0.065,BARO0,35.27,100130
-0.055,BARO0,35.28,100179
-0.045,BARO0,35.26,100197
-0.035,BARO0,35.29,100170
-0.025,BARO0,35.26,100049
-0.015,BARO0,35.27,100092
-0.005,BARO0,35.26,100153
0.005,BARO0,35.26,100097
0.015,BARO0,35.27,100110
0.025,BARO0,35.25,100071
0.035,BARO0,35.28,100118
0.045,BARO0,35.28,100110
0.055,BARO0,35.27,100084
0.065,BARO0,35.26,100096
0.075,BARO0,35.27,100126
0.085,BARO0,35.26,100052
0.095,BARO0,35.26,100089
0.105,BARO0,35.27,100179
0.115,BARO0,35.27,100170
0.125,BARO0,35.26,100139
0.135,BARO0,35.27,100154
0.145,BARO0,35.24,100112
0.155,BARO0,35.24,100089
0.165,BARO0,35.26,100105
0.175,BARO0,35.26,100133
0.185,BARO0,35.27,100091
0.195,BARO0,35.26,100092
0.205,BARO0,35.27,100130
0.215,BARO0,35.25,100078
0.225,BARO0,35.27,100056
0.235,BARO0,35.27,100108
0.245,BARO0,35.27,100085
0.255,BARO0,35.27,100120
0.265,BARO0,35.26,100093
0.275,BARO0,35.27,100116
0.285,BARO0,35.26,100078
0.295,BARO0,35.26,100069
0.305,BARO0,35.27,100076
0.315,BARO0,35.26,100078
0.325,BARO0,35.27,100081
0.335,BARO0,35.27,100054
0.345,BARO0,35.26,100063
0.355,BARO0,35.28,100086
0.365,BARO0,35.26,100056
0.375,BARO0,35.27,100081
0.385,BARO0,35.26,100054
0.395,BARO0,35.25,100045
0.405,BARO0,35.26,100046
0.415,BARO0,35.25,100049
0.425,BARO0,35.26,100057
0.435,BARO0,35.27,100077
0.445,BARO0,35.26,100028
