ts,id,T,P
-0.745,BARO0,31.46,100230
-0.735,BARO0,31.46,100215
-0.725,BARO0,31.45,100210
-0.715,BARO0,31.47,100230
-0.705,BARO0,31.47,100228
-0.695,BARO0,31.47,100230
-0.685,BARO0,31.46,100210
-0.675,BARO0,31.48,100200
-0.665,BARO0,31.48,100238
-0.655,BARO0,31.48,100231
-0.645,BARO0,31.47,100204
-0.635,BARO0,31.48,100227
-0.625,BARO0,31.48,100222
-0.615,BARO0,31.47,100216
-0.605,BARO0,31.47,100199
-0.595,BARO0,31.46,100215
-0.585,BARO0,31.48,100234
-0.575,BARO0,31.46,100218
-0.565,BARO0,31.48,100213
-0.555,BARO0,31.46,100207
-0.545,BARO0,31.46,100225
-0.535,BARO0,31.48,100214
-0.525,BARO0,31.48,100211
-0.515,BARO0,31.47,100221
-0.505,BARO0,31.46,100229
-0.495,BARO0,31.47,100217
-0.485,BARO0,31.47,100208
-0.475,BARO0,31.48,100218
-0.465,BARO0,31.5,100239
-0.455,BARO0,31.46,100213
-0.445,BARO0,31.49,100213
-0.435,BARO0,31.47,100211
-0.425,BARO0,31.47,100222
-0.415,BARO0,31.47,100220
-0.405,BARO0,31.46,100210
-0.395,BARO0,31.47,100231
-0.385,BARO0,31.47,100202
-0.375,BARO0,31.47,100217
-0.365,BARO0,31.47,100204
-0.355,BARO0,31.47,100227
-0.345,BARO0,31.47,100219
-0.335,BARO0,31.47,100185
-0.325,BARO0,31.48,100215
-0.315,BARO0,31.47,100228
-0.305,BARO0,31.47,100225
-0.295,BARO0,31.47,100215
-0.285,BARO0,31.46,100195
-0.275,BARO0,31.48,100233
-0.265,BARO0,31.46,100205
-0.255,BARO0,31.46,100261
-0.245,BARO0,31.47,100217
-0.235,BARO0,31.47,100237
-0.225,BARO0,31.46,100226
-0.215,BARO0,31.47,100215
-0.205,BARO0,31.47,100224
-0.195,BARO0,31.47,100241
-0.185,BARO0,31.47,100234
-0.175,BARO0,31.48,100201
-0.165,BARO0,31.46,100229
-0.155,BARO0,31.46,100227
-0.145,BARO0,31.48,100206
-0.135,BARO0,31.47,100223
-0.125,BARO0,31.48,100224
-0.115,BARO0,31.47,100234
-0.105,BARO0,31.46,100245
-0.095,BARO0,31.48,100245
-0.085,BARO0,31.47,100195
-0.075,BARO0,31.46,100200
-0.065,BARO0,31.47,100219
-0.055,BARO0,31.48,100227
-0.045,BARO0,31.47,100227
-0.035,BARO0,31.48,100204
-0.025,BARO0,31.47,100218
-0.015,BARO0,31.47,100191
-0.005,BARO0,31.47,100222
0.005,BARO0,31.47,100229
0.015,BARO0,31.46,100252
0.025,BARO0,31.47,100185
0.035,BARO0,31.49,100207
0.045,BARO0,31.48,100208
0.055,BARO0,31.47,100205
0.065,BARO0,31.48,100214
0.075,BARO0,31.46,100211
0.085,BARO0,31.47,100193
0.095,BARO0,31.47,100199
0.105,BARO0,31.47,100229
0.115,BARO0,31.49,100198
0.125,BARO0,31.46,100159
0.135,BARO0,31.45,100194
0.145,BARO0,31.49,100193
0.155,BARO0,31.47,100191
0.165,BARO0,31.46,100186
0.175,BARO0,31.47,100194
