ts,id,T,P
-0.745,BARO0,44.57,99961
-0.735,BARO0,44.59,100001
-0.725,BARO0,44.59,100007
-0.715,BARO0,44.58,99996
-0.705,BARO0,44.58,99963
-0.695,BARO0,44.58,99953
-0.685,BARO0,44.58,99971
-0.675,BARO0,44.59,99977
-0.665,BARO0,44.57,99972
-0.655,BARO0,44.57,99979
-0.645,BARO0,44.58,99998
-0.635,BARO0,44.58,99994
-0.625,BARO0,44.58,99974
-0.615,BARO0,44.57,99995
-0.605,BARO0,44.58,99966
-0.595,BARO0,44.57,99964
-0.585,BARO0,44.58,99980
-0.575,BARO0,44.59,99981
-0.565,BARO0,44.58,99994
-0.555,BARO0,44.57,99968
-0.545,BARO0,44.57,99994
-0.535,BARO0,44.57,99973
-0.525,BARO0,44.57,99951
-0.515,BARO0,44.59,99997
-0.505,BARO0,44.57,99990
-0.495,BARO0,44.6,99989
-0.485,BARO0,44.59,100007
-0.475,BARO0,44.6,99983
-0.465,BARO0,44.58,99972
-0.455,BARO0,44.59,99985
-0.445,BARO0,44.58,99967
-0.435,BARO0,44.58,99984
-0.425,BARO0,44.58,99982
-0.415,BARO0,44.57,99976
-0.405,BARO0,44.59,99989
-0.395,BARO0,44.59,100019
-0.385,BARO0,44.56,99967
-0.375,BARO0,44.58,99984
-0.365,BARO0,44.59,99980
-0.355,BARO0,44.61,99993
-0.345,BARO0,44.58,99969
-0.335,BARO0,44.58,99978
-0.325,BARO0,44.58,99966
-0.315,BARO0,44.59,99979
-0.305,BARO0,44.56,99969
-0.295,BARO0,44.59,99991
-0.285,BARO0,44.55,99954
-0.275,BARO0,44.59,99991
-0.265,BARO0,44.57,99984
-0.255,BARO0,44.57,99999
-0.245,BARO0,44.58,99962
-0.235,BARO0,44.58,99981
-0.225,BARO0,44.57,99963
-0.215,BARO0,44.58,99987
-0.205,BARO0,44.59,99989
-0.195,BARO0,44.57,99947
-0.185,BARO0,44.58,99988
-0.175,BARO0,44.57,99985
-0.165,BARO0,44.58,99981
-0.155,BARO0,44.57,99984
-0.145,BARO0,44.59,99978
-0.135,BARO0,44.59,99995
-0.125,BARO0,44.57,100000
-0.115,BARO0,44.57,100008
-0.105,BARO0,44.6,100020
-0.095,BARO0,44.58,99987
-0.085,BARO0,44.59,99988
