ts,id,T,P
-0.745,BARO0,39.15,100072
-0.735,BARO0,39.19,100101
-0.725,BARO0,39.16,100085
-0.715,BARO0,39.17,100114
-0.705,BARO0,39.17,100114
-0.695,BARO0,39.18,100106
-0.685,BARO0,39.17,100098
-0.675,BARO0,39.17,100075
-0.665,BARO0,39.16,100116
-0.655,BARO0,39.18,100074
-0.645,BARO0,39.18,100094
-0.635,BARO0,39.18,100071
-0.625,BARO0,39.17,100073
-0.615,BARO0,39.18,100125
-0.605,BARO0,39.17,100091
-0.595,BARO0,39.16,100099
-0.585,BARO0,39.18,100085
-0.575,BARO0,39.16,100095
-0.565,BARO0,39.16,100071
-0.555,BARO0,39.17,100109
-0.545,BARO0,39.2,100083
-0.535,BARO0,39.19,100072
-0.525,BARO0,39.17,100099
-0.515,BARO0,39.16,100079
-0.505,BARO0,39.17,100080
-0.495,BARO0,39.18,100109
-0.485,BARO0,39.16,100070
-0.475,BARO0,39.16,100101
-0.465,BARO0,39.18,100069
-0.455,BARO0,39.19,100089
-0.445,BARO0,39.16,100104
-0.435,BARO0,39.18,100109
-0.425,BARO0,39.18,100110
-0.415,BARO0,39.17,100091
-0.405,BARO0,39.16,100081
-0.395,BARO0,39.17,100106
-0.385,BARO0,39.17,100097
-0.375,BARO0,39.17,100093
-0.365,BARO0,39.16,100109
-0.355,BARO0,39.16,100096
-0.345,BARO0,39.17,100077
-0.335,BARO0,39.18,100071
-0.325,BARO0,39.18,100084
-0.315,BARO0,39.19,100090
-0.305,BARO0,39.18,100078
-0.295,BARO0,39.19,100087
-0.285,BARO0,39.18,100089
-0.275,BARO0,39.18,100127
-0.265,BARO0,39.17,100100
-0.255,BARO0,39.19,100087
-0.245,BARO0,39.18,100099
-0.235,BARO0,39.17,100090
-0.225,BARO0,39.17,100092
-0.215,BARO0,39.17,100086
-0.205,BARO0,39.18,100100
-0.195,BARO0,39.17,100092
-0.185,BARO0,39.17,100093
-0.175,BARO0,39.16,100052
-0.165,BARO0,39.17,100118
-0.155,BARO0,39.18,100097
-0.145,BARO0,39.18,100161
-0.135,BARO0,39.14,99993
-0.125,BARO0,39.17,100083
-0.115,BARO0,39.17,100123
-0.105,BARO0,39.17,100044
-0.095,BARO0,39.17,100055
-0.085,BARO0,39.17,100112
-0.075,BARO0,39.17,99995
-0.065,BARO0,39.18,100066
-0.055,BARO0,39.18,100081
-0.045,BARO0,39.17,100143
-0.035,BARO0,39.18,100063
-0.025,BARO0,39.19,100078
-0.015,BARO0,39.18,100066
-0.005,BARO0,39.15,100135
0.005,BARO0,39.16,100071
0.015,BARO0,39.17,100062
0.025,BARO0,39.19,100016
0.035,BARO0,39.17,100206
0.045,BARO0,39.18,100206
0.055,BARO0,39.17,100058
0.065,BARO0,39.16,100338
0.075,BARO0,39.18,100125
0.085,BARO0,39.18,99964
0.095,BARO0,39.17,100100
0.105,BARO0,39.18,100054
0.115,BARO0,39.18,100152
0.125,BARO0,39.18,100096
0.135,BARO0,39.18,100114
0.145,BARO0,39.16,100207
0.155,BARO0,39.15,100057
0.165,BARO0,39.17,100140
0.175,BARO0,39.18,99963
0.185,BARO0,39.17,100028
0.195,BARO0,39.17,100084
0.205,BARO0,39.18,100032
0.215,BARO0,39.16,100175
0.225,BARO0,39.18,100052
0.235,BARO0,39.18,99987
0.245,BARO0,39.17,100113
0.255,BARO0,39.15,100047
0.265,BARO0,39.17,100069
0.275,BARO0,39.17,100013
0.285,BARO0,39.16,100033
0.295,BARO0,39.15,100024
0.305,BARO0,39.18,100061
0.315,BARO0,39.16,100120
0.325,BARO0,39.17,100058
0.335,BARO0,39.16,100097
0.345,BARO0,39.17,100025
0.355,BARO0,39.16,100000
0.365,BARO0,39.17,100038
0.375,BARO0,39.18,100056
0.385,BARO0,39.17,100034
0.395,BARO0,39.16,100030
0.405,BARO0,39.17,100022
0.415,BARO0,39.15,100017
0.425,BARO0,39.17,100019
0.435,BARO0,39.16,99990
0.445,BARO0,39.15,99990
0.455,BARO0,39.17,99981
0.465,BARO0,39.17,99992
0.475,BARO0,39.15,99968
0.485,BARO0,39.18,99986
0.495,BARO0,39.18,99997
0.505,BARO0,39.16,99984
0.515,BARO0,39.16,99983
0.525,BARO0,39.16,99946
0.535,BARO0,39.16,99976
0.545,BARO0,39.16,99963
0.555,BARO0,39.15,99936
0.565,BARO0,39.17,99984
0.575,BARO0,39.15,99926
0.585,BARO0,39.15,99923
0.595,BARO0,39.16,99941
0.605,BARO0,39.16,99985
0.615,BARO0,39.17,99938
0.625,BARO0,39.15,99946
0.635,BARO0,39.16,99901
0.645,BARO0,39.15,99918
0.655,BARO0,39.17,99913
0.665,BARO0,39.17,99913
0.675,BARO0,39.16,99898
0.685,BARO0,39.16,99891
0.695,BARO0,39.14,99873
0.705,BARO0,39.14,99882
0.715,BARO0,39.17,99887
0.725,BARO0,39.15,99882
0.735,BARO0,39.16,99866
0.745,BARO0,39.16,99846
0.755,BARO0,39.14,99847
0.765,BARO0,39.15,99889
0.775,BARO0,39.13,99808
0.785,BARO0,39.14,99823
0.795,BARO0,39.16,99819
0.805,BARO0,39.17,99842
0.815,BARO0,39.14,99825
0.825,BARO0,39.14,99827
0.835,BARO0,39.15,99790
0.845,BARO0,39.16,99832
0.855,BARO0,39.13,99780
0.865,BARO0,39.15,99793
0.875,BARO0,39.14,99747
0.885,BARO0,39.16,99772
0.895,BARO0,39.16,99756
0.905,BARO0,39.13,99746
0.915,BARO0,39.14,99779
0.925,BARO0,39.14,99755
0.935,BARO0,39.14,99716
0.945,BARO0,39.15,99753
0.955,BARO0,39.15,99724
0.965,BARO0,39.13,99697
0.975,BARO0,39.13,99692
0.985,BARO0,39.14,99719
0.995,BARO0,39.13,99701
1.005,BARO0,39.13,99688
1.015,BARO0,39.13,99662
1.025,BARO0,39.14,99655
1.035,BARO0,39.13,99652
1.045,BARO0,39.13,99661
1.055,BARO0,39.13,99645
1.065,BARO0,39.14,99666
1.075,BARO0,39.14,99625
1.085,BARO0,39.15,99627
1.095,BARO0,39.12,99590
1.105,BARO0,39.14,99619
1.115,BARO0,39.1,99605
1.125,BARO0,39.13,99569
1.135,BARO0,39.13,99566
1.145,BARO0,39.12,99570
1.155,BARO0,39.14,99553
1.165,BARO0,39.14,99568
1.175,BARO0,39.13,99530
1.185,BARO0,39.12,99529
1.195,BARO0,39.13,99519
1.205,BARO0,39.13,99529
1.215,BARO0,39.11,99486
1.225,BARO0,39.12,99501
1.235,BARO0,39.12,99482
1.245,BARO0,39.12,99472
1.255,BARO0,39.11,99453
1.265,BARO0,39.13,99439
1.275,BARO0,39.14,99445
1.285,BARO0,39.11,99440
1.295,BARO0,39.12,99435
1.305,BARO0,39.11,99415
1.315,BARO0,39.12,99399
1.325,BARO0,39.12,99400
1.335,BARO0,39.11,99350
1.345,BARO0,39.12,99363
1.355,BARO0,39.11,99372
1.365,BARO0,39.1,99353
1.375,BARO0,39.11,99364
1.385,BARO0,39.11,99314
1.395,BARO0,39.1,99343
1.405,BARO0,39.14,99322
1.415,BARO0,39.1,99314
1.425,BARO0,39.11,99286
1.435,BARO0,39.1,99262
1.445,BARO0,39.1,99266
1.455,BARO0,39.1,99245
1.465,BARO0,39.1,99219
1.475,BARO0,39.06,99243
1.485,BARO0,39.11,99202
1.495,BARO0,39.09,99202
1.505,BARO0,39.1,99186
1.515,BARO0,39.1,99191
1.525,BARO0,39.08,99156
1.535,BARO0,39.08,99140
1.545,BARO0,39.09,99120
1.555,BARO0,39.07,99115
1.565,BARO0,39.12,99115
1.575,BARO0,39.09,99081
1.585,BARO0,39.1,99074
1.595,BARO0,39.09,99054
1.605,BARO0,39.09,99052
1.615,BARO0,39.09,99032
1.625,BARO0,39.08,99021
1.635,BARO0,39.09,99011
1.645,BARO0,39.08,98983
1.655,BARO0,39.09,98995
1.665,BARO0,39.06,98966
1.675,BARO0,39.07,98969
1.685,BARO0,39.07,98907
1.695,BARO0,39.05,98913
1.705,BARO0,39.07,98890
1.715,BARO0,39.08,98895
1.725,BARO0,39.07,98887
1.735,BARO0,39.06,98883
1.745,BARO0,39.08,98859
1.755,BARO0,39.06,98861
1.765,BARO0,39.06,98801
1.775,BARO0,39.05,98798
1.785,BARO0,39.07,98791
1.795,BARO0,39.05,98784
1.805,BARO0,39.05,98778
1.815,BARO0,39.05,98761
1.825,BARO0,39.05,98755
1.835,BARO0,39.06,98707
1.845,BARO0,39.06,98690
1.855,BARO0,39.05,98689
1.865,BARO0,39.06,98681
1.875,BARO0,39.05,98624
1.885,BARO0,39.04,98626
1.895,BARO0,39.04,98606
1.905,BARO0,39.04,98615
1.915,BARO0,39.03,98592
1.925,BARO0,39.04,98563
1.935,BARO0,39.04,98542
1.945,BARO0,39.04,98554
1.955,BARO0,39.03,98527
1.965,BARO0,39.05,98489
1.975,BARO0,39.04,98497
1.985,BARO0,39.04,98458
1.995,BARO0,39.05,98449
2.005,BARO0,39.03,98462
2.015,BARO0,39.01,98388
2.025,BARO0,39.02,98443
2.035,BARO0,39.02,98417
